nohup: ignoring input
Initializing best model from attempt_14b_epoch032.pt

================================================================================
SELF-PLAY TRAINING PIPELINE
================================================================================
Work directory: selfplay_run01
Best model: selfplay_run01/models/best_model.pt
Replay buffer: selfplay_run01/replay_buffer.csv
Device: cuda

Configuration:
  Iterations: 50
  Games per iteration: 1000
  Training batches: 5000
  Batch size: 256
  Learning rate: 0.0001
  Evaluation games: 40
  Win threshold: 55%
  Self-play simulations: 400
  Eval simulations: 400
  MCTS leaf-parallel batch: 128
  NN forward batch: 512
  Early-exit min sims: 200
  Parallel self-play workers: 24
================================================================================


================================================================================
ITERATION 1/50
================================================================================

[1/4] Generating 1000 self-play games...
Generating 1000 self-play games...
MCTS config: simulations=400, batch=128, cpuct=2.0
Parallel workers: 24
Output: selfplay_run01/selfplay_games/iteration_0000.csv

[168/1000] Game 163: 1/2-1/2, 89 positions, 10.2s, 8.7 moves/s
[169/1000] Game 175: 1/2-1/2, 58 positions, 6.5s, 9.0 moves/s
[170/1000] Game 167: 1-0, 101 positions, 10.4s, 9.7 moves/s
[171/1000] Game 177: 1-0, 55 positions, 5.8s, 9.5 moves/s
[172/1000] Game 171: 1/2-1/2, 98 positions, 9.3s, 10.5 moves/s
[173/1000] Game 164: 1/2-1/2, 116 positions, 12.5s, 9.2 moves/s
[174/1000] Game 173: 1/2-1/2, 109 positions, 9.7s, 11.2 moves/s
[175/1000] Game 174: 0-1, 102 positions, 9.9s, 10.3 moves/s
[176/1000] Game 179: 1-0, 67 positions, 6.9s, 9.7 moves/s
[177/1000] Game 180: 1-0, 69 positions, 7.0s, 9.8 moves/s
[178/1000] Game 176: 1/2-1/2, 82 positions, 9.8s, 8.4 moves/s
[179/1000] Game 187: 1-0, 55 positions, 6.2s, 8.8 moves/s
[180/1000] Game 181: 0-1, 80 positions, 7.7s, 10.4 moves/s
[181/1000] Game 182: 1/2-1/2, 81 positions, 7.6s, 10.6 moves/s
[182/1000] Game 197: 0-1, 36 positions, 2.7s, 13.4 moves/s
[183/1000] Game 172: 1/2-1/2, 120 positions, 12.4s, 9.7 moves/s
[184/1000] Game 184: 1-0, 75 positions, 7.7s, 9.8 moves/s
[185/1000] Game 188: 0-1, 74 positions, 7.6s, 9.8 moves/s
[186/1000] Game 193: 0-1, 60 positions, 6.1s, 9.8 moves/s
[187/1000] Game 196: 1-0, 49 positions, 5.5s, 8.9 moves/s
[188/1000] Game 178: 1/2-1/2, 115 positions, 10.7s, 10.7 moves/s
[189/1000] Game 186: 0-1, 78 positions, 9.6s, 8.2 moves/s
[190/1000] Game 194: 1-0, 87 positions, 8.0s, 10.9 moves/s
[191/1000] Game 185: 1/2-1/2, 102 positions, 11.2s, 9.1 moves/s
[192/1000] Game 190: 1-0, 87 positions, 9.8s, 8.9 moves/s
[193/1000] Game 183: 1-0, 119 positions, 12.2s, 9.8 moves/s
[194/1000] Game 191: 1/2-1/2, 95 positions, 10.5s, 9.0 moves/s
[195/1000] Game 202: 1-0, 67 positions, 7.0s, 9.6 moves/s
[196/1000] Game 192: 1/2-1/2, 107 positions, 11.6s, 9.2 moves/s
[197/1000] Game 208: 0-1, 64 positions, 6.8s, 9.4 moves/s
[198/1000] Game 211: 0-1, 54 positions, 5.9s, 9.2 moves/s
[199/1000] Game 201: 1/2-1/2, 90 positions, 8.9s, 10.1 moves/s
[200/1000] Game 195: 1-0, 119 positions, 12.6s, 9.4 moves/s
[201/1000] Game 203: 0-1, 88 positions, 8.7s, 10.1 moves/s
[202/1000] Game 189: 0-1, 146 positions, 14.8s, 9.9 moves/s
[203/1000] Game 200: 1-0, 121 positions, 11.3s, 10.7 moves/s
[204/1000] Game 204: 1/2-1/2, 113 positions, 10.9s, 10.3 moves/s
[205/1000] Game 198: 0-1, 124 positions, 13.1s, 9.5 moves/s
[206/1000] Game 199: 0-1, 114 positions, 12.6s, 9.1 moves/s
[207/1000] Game 207: 1/2-1/2, 123 positions, 10.6s, 11.6 moves/s
[208/1000] Game 206: 1/2-1/2, 121 positions, 11.5s, 10.5 moves/s
[209/1000] Game 215: 0-1, 76 positions, 7.9s, 9.6 moves/s
[210/1000] Game 226: 0-1, 42 positions, 3.1s, 13.5 moves/s
[211/1000] Game 209: 1-0, 117 positions, 11.1s, 10.5 moves/s
[212/1000] Game 213: 0-1, 102 positions, 10.0s, 10.2 moves/s
[213/1000] Game 205: 0-1, 142 positions, 13.5s, 10.5 moves/s
[214/1000] Game 214: 1/2-1/2, 94 positions, 10.5s, 9.0 moves/s
[215/1000] Game 212: 1-0, 115 positions, 12.5s, 9.2 moves/s
[216/1000] Game 220: 0-1, 82 positions, 8.4s, 9.8 moves/s
[217/1000] Game 224: 0-1, 60 positions, 6.6s, 9.1 moves/s
[218/1000] Game 216: 1-0, 107 positions, 10.4s, 10.3 moves/s
[219/1000] Game 219: 1/2-1/2, 91 positions, 9.2s, 9.9 moves/s
[220/1000] Game 221: 0-1, 88 positions, 9.0s, 9.8 moves/s
[221/1000] Game 222: 0-1, 100 positions, 9.6s, 10.4 moves/s
[222/1000] Game 210: 1/2-1/2, 153 positions, 16.6s, 9.2 moves/s
[223/1000] Game 227: 1/2-1/2, 68 positions, 8.3s, 8.2 moves/s
[224/1000] Game 217: 1-0, 127 positions, 13.9s, 9.2 moves/s
[225/1000] Game 225: 1-0, 91 positions, 10.2s, 8.9 moves/s
[226/1000] Game 229: 1/2-1/2, 76 positions, 7.9s, 9.6 moves/s
[227/1000] Game 223: 1/2-1/2, 109 positions, 12.2s, 8.9 moves/s
[228/1000] Game 218: 1-0, 159 positions, 16.1s, 9.9 moves/s
[229/1000] Game 231: 1-0, 89 positions, 10.6s, 8.4 moves/s
[230/1000] Game 236: 1/2-1/2, 67 positions, 8.8s, 7.6 moves/s
[231/1000] Game 228: 1/2-1/2, 125 positions, 12.0s, 10.4 moves/s
[232/1000] Game 235: 0-1, 84 positions, 10.2s, 8.2 moves/s
[233/1000] Game 230: 1/2-1/2, 104 positions, 12.1s, 8.6 moves/s
[234/1000] Game 233: 0-1, 112 positions, 10.6s, 10.6 moves/s
[235/1000] Game 234: 1-0, 91 positions, 10.7s, 8.5 moves/s
[236/1000] Game 237: 0-1, 88 positions, 10.4s, 8.4 moves/s
[237/1000] Game 244: 1-0, 69 positions, 8.5s, 8.1 moves/s
[238/1000] Game 241: 1/2-1/2, 120 positions, 10.8s, 11.1 moves/s
[239/1000] Game 232: 1-0, 143 positions, 14.2s, 10.1 moves/s
[240/1000] Game 246: 0-1, 92 positions, 8.6s, 10.7 moves/s
[241/1000] Game 239: 1-0, 113 positions, 12.0s, 9.5 moves/s
[242/1000] Game 238: 1-0, 135 positions, 12.6s, 10.7 moves/s
[243/1000] Game 248: 0-1, 84 positions, 8.5s, 9.9 moves/s
[244/1000] Game 243: 1-0, 125 positions, 11.5s, 10.8 moves/s
[245/1000] Game 249: 1/2-1/2, 80 positions, 8.4s, 9.5 moves/s
[246/1000] Game 242: 0-1, 112 positions, 12.3s, 9.1 moves/s
[247/1000] Game 251: 0-1, 76 positions, 7.7s, 9.8 moves/s
[248/1000] Game 240: 1/2-1/2, 126 positions, 13.4s, 9.4 moves/s
