nohup: ignoring input
Initializing best model from attempt_14b_epoch032.pt
Initializing training trunk from attempt_14b_epoch032.pt

================================================================================
SELF-PLAY TRAINING PIPELINE
================================================================================
Work directory: selfplay_run10
Best model: selfplay_run10/models/best_model.pt
Replay buffer: selfplay_run10/replay_buffer.csv
Device: cuda

Configuration:
  Iterations: 50
  Games per iteration: 1000
  Training batches: 2000
  Batch size: 256
  Learning rate: 3e-05
  Evaluation games: 500
  Win threshold: 52%
  Self-play simulations: 800
  Dirichlet noise: alpha=0.3, epsilon=0.25
  Eval simulations: 800
  cpuct: 1.25
  MCTS leaf-parallel batch: 128
  NN forward batch: 512
  Early-exit min sims: 400
  Parallel self-play workers: 24
  Parallel eval workers: 24
  Pre-fill iterations: 4
  Pre-fill cache dir: prefill_cache_800_direchlet_cpucut_1_25
================================================================================


================================================================================
PRE-FILL PHASE (4 iterations of self-play, no training)
  Prefill data dir: prefill_cache_800_direchlet_cpucut_1_25
================================================================================


[PREFILL 1/4] Generating 1000 self-play games -> prefill_cache_800_direchlet_cpucut_1_25/prefill_0000.csv
Generating 1000 self-play games...
MCTS config: simulations=800, batch=128, cpuct=1.25
Exploration: dirichlet_alpha=0.3, dirichlet_epsilon=0.25
Parallel workers: 24
Output: prefill_cache_800_direchlet_cpucut_1_25/prefill_0000.csv

[104/1000] Game 97: 0-1, 142 positions, 29.3s, 4.9 moves/s
[105/1000] Game 102: 1/2-1/2, 120 positions, 25.3s, 4.7 moves/s
[106/1000] Game 110: 1-0, 81 positions, 20.0s, 4.0 moves/s
[107/1000] Game 90: 1/2-1/2, 169 positions, 37.1s, 4.6 moves/s
[108/1000] Game 106: 1-0, 111 positions, 25.2s, 4.4 moves/s
[109/1000] Game 107: 1-0, 133 positions, 25.4s, 5.2 moves/s
[110/1000] Game 101: 1/2-1/2, 155 positions, 30.4s, 5.1 moves/s
[111/1000] Game 109: 0-1, 130 positions, 25.4s, 5.1 moves/s
[112/1000] Game 116: 1/2-1/2, 73 positions, 15.8s, 4.6 moves/s
[113/1000] Game 114: 1-0, 93 positions, 19.2s, 4.8 moves/s
[114/1000] Game 111: 1-0, 113 positions, 25.4s, 4.4 moves/s
[115/1000] Game 115: 0-1, 100 positions, 20.5s, 4.9 moves/s
[116/1000] Game 122: 0-1, 66 positions, 15.2s, 4.3 moves/s
[117/1000] Game 119: 0-1, 80 positions, 17.6s, 4.5 moves/s
[118/1000] Game 113: 1-0, 113 positions, 25.6s, 4.4 moves/s
[119/1000] Game 121: 1-0, 81 positions, 18.5s, 4.4 moves/s
[120/1000] Game 120: 1/2-1/2, 87 positions, 20.4s, 4.3 moves/s
[121/1000] Game 117: 0-1, 138 positions, 26.7s, 5.2 moves/s
[122/1000] Game 133: 1/2-1/2, 70 positions, 14.8s, 4.7 moves/s
[123/1000] Game 118: 1-0, 103 positions, 24.8s, 4.2 moves/s
[124/1000] Game 129: 1-0, 89 positions, 18.3s, 4.9 moves/s
[125/1000] Game 130: 0-1, 80 positions, 17.7s, 4.5 moves/s
[126/1000] Game 123: 0-1, 84 positions, 21.4s, 3.9 moves/s
[127/1000] Game 132: 0-1, 92 positions, 17.4s, 5.3 moves/s
[128/1000] Game 131: 1/2-1/2, 89 positions, 19.0s, 4.7 moves/s
[129/1000] Game 124: 1/2-1/2, 98 positions, 24.0s, 4.1 moves/s
[130/1000] Game 127: 0-1, 108 positions, 22.0s, 4.9 moves/s
[131/1000] Game 126: 1/2-1/2, 113 positions, 23.2s, 4.9 moves/s
[132/1000] Game 128: 1/2-1/2, 109 positions, 22.4s, 4.9 moves/s
[133/1000] Game 125: 1/2-1/2, 114 positions, 24.0s, 4.8 moves/s
[134/1000] Game 135: 1/2-1/2, 76 positions, 18.1s, 4.2 moves/s
[135/1000] Game 136: 1-0, 89 positions, 18.6s, 4.8 moves/s
[136/1000] Game 134: 1/2-1/2, 112 positions, 21.6s, 5.2 moves/s
[137/1000] Game 137: 0-1, 98 positions, 22.0s, 4.5 moves/s
[138/1000] Game 143: 0-1, 60 positions, 15.2s, 4.0 moves/s
[139/1000] Game 138: 1/2-1/2, 124 positions, 22.8s, 5.4 moves/s
[140/1000] Game 141: 1/2-1/2, 85 positions, 18.5s, 4.6 moves/s
[141/1000] Game 139: 1/2-1/2, 106 positions, 23.0s, 4.6 moves/s
[142/1000] Game 145: 1/2-1/2, 56 positions, 15.4s, 3.6 moves/s
[143/1000] Game 140: 1-0, 99 positions, 22.9s, 4.3 moves/s
[144/1000] Game 152: 1/2-1/2, 66 positions, 14.5s, 4.5 moves/s
[145/1000] Game 149: 0-1, 102 positions, 17.0s, 6.0 moves/s
[146/1000] Game 150: 0-1, 78 positions, 17.4s, 4.5 moves/s
[147/1000] Game 158: 1-0, 59 positions, 12.3s, 4.8 moves/s
[148/1000] Game 144: 1-0, 111 positions, 21.9s, 5.1 moves/s
[149/1000] Game 153: 1/2-1/2, 63 positions, 15.2s, 4.1 moves/s
[150/1000] Game 151: 1-0, 71 positions, 18.7s, 3.8 moves/s
[151/1000] Game 146: 1-0, 99 positions, 21.0s, 4.7 moves/s
[152/1000] Game 147: 1-0, 103 positions, 22.0s, 4.7 moves/s
[153/1000] Game 142: 1/2-1/2, 134 positions, 28.6s, 4.7 moves/s
[154/1000] Game 157: 1-0, 109 positions, 21.6s, 5.1 moves/s
[155/1000] Game 159: 1-0, 111 positions, 19.5s, 5.7 moves/s
[156/1000] Game 163: 1/2-1/2, 69 positions, 16.2s, 4.3 moves/s
[157/1000] Game 172: 1-0, 43 positions, 9.5s, 4.5 moves/s
[158/1000] Game 161: 1-0, 81 positions, 18.2s, 4.5 moves/s
[159/1000] Game 148: 1-0, 127 positions, 28.1s, 4.5 moves/s
[160/1000] Game 160: 1-0, 87 positions, 21.4s, 4.1 moves/s
[161/1000] Game 156: 1/2-1/2, 121 positions, 26.1s, 4.6 moves/s
[162/1000] Game 165: 0-1, 68 positions, 16.5s, 4.1 moves/s
[163/1000] Game 154: 1-0, 137 positions, 27.6s, 5.0 moves/s
[164/1000] Game 155: 1/2-1/2, 136 positions, 29.0s, 4.7 moves/s
[165/1000] Game 170: 1/2-1/2, 60 positions, 15.1s, 4.0 moves/s
[166/1000] Game 164: 1/2-1/2, 108 positions, 22.1s, 4.9 moves/s
[167/1000] Game 168: 1/2-1/2, 96 positions, 16.8s, 5.7 moves/s
[168/1000] Game 166: 1-0, 99 positions, 20.4s, 4.9 moves/s
[169/1000] Game 167: 1-0, 91 positions, 19.7s, 4.6 moves/s
[170/1000] Game 173: 1/2-1/2, 86 positions, 17.3s, 5.0 moves/s
[171/1000] Game 174: 1/2-1/2, 79 positions, 17.1s, 4.6 moves/s
[172/1000] Game 162: 0-1, 156 positions, 28.9s, 5.4 moves/s
[173/1000] Game 171: 0-1, 102 positions, 21.6s, 4.7 moves/s
[174/1000] Game 177: 0-1, 84 positions, 17.7s, 4.7 moves/s
[175/1000] Game 169: 1-0, 89 positions, 23.1s, 3.9 moves/s
[176/1000] Game 176: 0-1, 98 positions, 18.9s, 5.2 moves/s
[177/1000] Game 194: 0-1, 34 positions, 8.1s, 4.2 moves/s
[178/1000] Game 180: 1-0, 81 positions, 18.0s, 4.5 moves/s
[179/1000] Game 175: 1-0, 127 positions, 25.1s, 5.1 moves/s
[180/1000] Game 185: 1-0, 93 positions, 16.4s, 5.7 moves/s
[181/1000] Game 181: 1-0, 93 positions, 20.2s, 4.6 moves/s
[182/1000] Game 187: 1/2-1/2, 64 positions, 17.3s, 3.7 moves/s
